dateid,areaID,deaths
20210204,mb,743
20210204,ms,382
20210204,ng,231
20210204,nm,299
20210204,po,89
20210204,sg,180
20210204,si,3930
20210204,za,87
20210203,ce,438
20210203,kk,164
20210203,kp,143
20210203,kr,342
20210203,lj,826
20210203,mb,738
20210203,ms,382
20210203,ng,230
20210203,nm,298
20210203,po,88
20210203,sg,180
20210203,si,3915
20210203,za,85
20210202,ce,437
20210202,kk,162
20210202,kp,142
20210202,kr,339
20210202,lj,824
20210202,mb,732
20210202,ms,378
20210202,ng,229
20210202,nm,295
20210202,po,87
20210202,sg,179
20210202,si,3890
20210202,za,85
20210201,ce,432
20210201,kk,162
20210201,kp,140
20210201,kr,336
20210201,lj,820
20210201,mb,727
20210201,ms,377
20210201,ng,228
20210201,nm,295
20210201,po,87
20210201,sg,179
20210201,si,3867
20210201,za,83
20210131,ce,430
20210131,kk,162
20210131,kp,138
20210131,kr,336
20210131,lj,817
20210131,mb,724
20210131,ms,373
20210131,ng,227
20210131,nm,295
20210131,po,87
20210131,sg,178
20210131,si,3851
20210131,za,83
20210130,ce,428
20210130,kk,160
20210130,kp,137
20210130,kr,333
20210130,lj,815
20210130,mb,719
20210130,ms,372
20210130,ng,224
20210130,nm,293
20210130,po,87
20210130,sg,178
20210130,si,3830
20210130,za,83
20210129,ce,426
20210129,kk,160
20210129,kp,136
20210129,kr,332
20210129,lj,809
20210129,mb,716
20210129,ms,372
20210129,ng,222
20210129,nm,293
20210129,po,87
20210129,sg,176
20210129,si,3813
20210129,za,83
20210128,ce,424
20210128,kk,158
20210128,kp,132
20210128,kr,331
20210128,lj,806
20210128,mb,713
20210128,ms,368
20210128,ng,222
20210128,nm,293
20210128,po,87
20210128,sg,175
20210128,si,3791
20210128,za,81
20210127,ce,421
20210127,kk,156
20210127,kp,130
20210127,kr,329
20210127,lj,803
20210127,mb,705
20210127,ms,368
20210127,ng,221
20210127,nm,290
20210127,po,86
20210127,sg,175
20210127,si,3765
20210127,za,80
20210126,ce,417
20210126,kk,154
20210126,kp,129
20210126,kr,329
20210126,lj,802
20210126,mb,703
20210126,ms,367
20210126,ng,219
20210126,nm,288
20210126,po,85
20210126,sg,175
20210126,si,3749
20210126,za,80
20210125,ce,417
20210125,kk,154
20210125,kp,127
20210125,kr,327
20210125,lj,796
20210125,mb,698
20210125,ms,365
20210125,ng,216
20210125,nm,288
20210125,po,85
20210125,sg,173
20210125,si,3725
20210125,za,78
20210124,ce,413
20210124,kk,154
20210124,kp,126
20210124,kr,325
20210124,lj,790
20210124,mb,695
20210124,ms,363
20210124,ng,213
20210124,nm,287
20210124,po,84
20210124,sg,173
20210124,si,3702
20210124,za,78
20210123,ce,413
20210123,kk,153
20210123,kp,124
20210123,kr,322
20210123,lj,788
20210123,mb,694
20210123,ms,359
20210123,ng,207
20210123,nm,284
20210123,po,84
20210123,sg,172
20210123,si,3678
20210123,za,77
20210122,ce,410
20210122,kk,150
20210122,kp,123
20210122,kr,318
20210122,lj,781
20210122,mb,688
20210122,ms,357
20210122,ng,206
20210122,nm,283
20210122,po,84
20210122,sg,170
20210122,si,3648
20210122,za,77
20210121,ce,409
20210121,kk,147
20210121,kp,122
20210121,kr,318
20210121,lj,774
20210121,mb,681
20210121,ms,356
20210121,ng,202
20210121,nm,282
20210121,po,84
20210121,sg,169
