dateid,areaID,activeCases
20220308,po,797
20220308,sg,916
20220308,si,24941
20220308,za,743
20220307,ce,2574
20220307,kk,1003
20220307,kp,1381
20220307,kr,2027
20220307,lj,5878
20220307,mb,3511
20220307,ms,1998
20220307,ng,2246
20220307,nm,1888
20220307,po,777
20220307,sg,944
20220307,si,25134
20220307,za,732
20220306,ce,2467
20220306,kk,1022
20220306,kp,1295
20220306,kr,1925
20220306,lj,5673
20220306,mb,3404
20220306,ms,2043
20220306,ng,2170
20220306,nm,1776
20220306,po,684
20220306,sg,933
20220306,si,24270
20220306,za,709
20220305,ce,2618
20220305,kk,1065
20220305,kp,1361
20220305,kr,2061
20220305,lj,5900
20220305,mb,3573
20220305,ms,2146
20220305,ng,2305
20220305,nm,1866
20220305,po,715
20220305,sg,998
20220305,si,25538
20220305,za,764
20220304,ce,2807
20220304,kk,1112
20220304,kp,1438
20220304,kr,2197
20220304,lj,6163
20220304,mb,3756
20220304,ms,2212
20220304,ng,2408
20220304,nm,1963
20220304,po,774
20220304,sg,1038
20220304,si,26872
20220304,za,835
20220303,ce,3072
20220303,kk,1211
20220303,kp,1517
20220303,kr,2367
20220303,lj,6605
20220303,mb,4064
20220303,ms,2320
20220303,ng,2544
20220303,nm,2107
20220303,po,784
20220303,sg,1104
20220303,si,28764
20220303,za,891
20220302,ce,3280
20220302,kk,1284
20220302,kp,1613
20220302,kr,2577
20220302,lj,7036
20220302,mb,4455
20220302,ms,2461
20220302,ng,2645
20220302,nm,2206
20220302,po,828
20220302,sg,1178
20220302,si,30706
20220302,za,958
20220301,ce,3647
20220301,kk,1404
20220301,kp,1760
20220301,kr,2780
20220301,lj,7601
20220301,mb,4959
20220301,ms,2665
20220301,ng,2845
20220301,nm,2369
20220301,po,865
20220301,sg,1274
20220301,si,33424
20220301,za,1064
20220228,ce,3974
20220228,kk,1517
20220228,kp,1907
20220228,kr,3079
20220228,lj,8246
20220228,mb,5482
20220228,ms,2840
20220228,ng,3038
20220228,nm,2553
20220228,po,932
20220228,sg,1362
20220228,si,36304
20220228,za,1155
20220227,ce,4551
20220227,kk,1739
20220227,kp,2112
20220227,kr,3495
20220227,lj,9310
20220227,mb,6306
20220227,ms,3104
20220227,ng,3254
20220227,nm,2856
20220227,po,1042
20220227,sg,1592
20220227,si,40919
20220227,za,1306
20220226,ce,4961
20220226,kk,1814
20220226,kp,2288
20220226,kr,3796
20220226,lj,9922
20220226,mb,6794
20220226,ms,3270
20220226,ng,3429
20220226,nm,3092
20220226,po,1122
20220226,sg,1711
20220226,si,43888
20220226,za,1423
20220225,ce,5409
20220225,kk,1938
20220225,kp,2471
20220225,kr,4119
20220225,lj,10712
20220225,mb,7338
20220225,ms,3453
20220225,ng,3597
20220225,nm,3335
20220225,po,1220
20220225,sg,1848
20220225,si,47275
20220225,za,1550
20220224,ce,6076
20220224,kk,2161
20220224,kp,2734
20220224,kr,4601
20220224,lj,12094
20220224,mb,8265
20220224,ms,3822
20220224,ng,3898
20220224,nm,3727
20220224,po,1358
20220224,sg,2051
20220224,si,52851
20220224,za,1752
20220223,ce,6733
20220223,kk,2409
20220223,kp,3038
20220223,kr,5102
20220223,lj,13487
20220223,mb,9185
20220223,ms,4146
20220223,ng,4208
20220223,nm,4074
20220223,po,1481
20220223,sg,2324
20220223,si,58494
20220223,za,1969
20220222,ce,7928
20220222,kk,2823
20220222,kp,3525
20220222,kr,5956
20220222,lj,15817
20220222,mb,10828
20220222,ms,4742
20220222,ng,4787
20220222,nm,4765
20220222,po,1737
20220222,sg,2761
20220222,si,68343
20220222,za,2297
20220221,ce,8345
20220221,kk,2823
20220221,kp,3665
20220221,kr,6297
20220221,lj,16532
20220221,mb,11250
20220221,ms,4880
20220221,ng,4843
20220221,nm,4976
20220221,po,1858
20220221,sg,2856
20220221,si,71078
20220221,za,2375
20220220,ce,9494
20220220,kk,3144
20220220,kp,4094
20220220,kr,7076
20220220,lj,18661
20220220,mb,12816
20220220,ms,5297
20220220,ng,5363
20220220,nm,5665
20220220,po,2040
20220220,sg,3208
20220220,si,79981
20220220,za,2701
20220219,ce,9990
20220219,kk,3255
20220219,kp,4348
20220219,kr,7450
20220219,lj,19409
20220219,mb,13367
20220219,ms,5481
20220219,ng,5500
20220219,nm,5920
20220219,po,2172
20220219,sg,3374
20220219,si,83515
20220219,za,2807
20220218,ce,10673
20220218,kk,3475
20220218,kp,4642
20220218,kr,7871
20220218,lj,20612
20220218,mb,14236
20220218,ms,5789
20220218,ng,5743
20220218,nm,6404
20220218,po,2278
20220218,sg,3593
20220218,si,88760
20220218,za,2965
20220217,ce,11835
20220217,kk,3772
20220217,kp,5026
20220217,kr,8617
20220217,lj,22402
20220217,mb,15600
20220217,ms,6196
20220217,ng,6123
20220217,nm,7072
20220217,po,2475
20220217,sg,3921
20220217,si,96740
20220217,za,3190
20220216,ce,12907
20220216,kk,4080
20220216,kp,5386
20220216,kr,9315
20220216,lj,24302
20220216,mb,16913
20220216,ms,6651
20220216,ng,6541
20220216,nm,7748
20220216,po,2664
20220216,sg,4190
20220216,si,104683
20220216,za,3442
20220215,ce,14610
20220215,kk,4432
20220215,kp,5748
20220215,kr,10811
20220215,lj,26809
20220215,mb,19553
20220215,ms,7223
20220215,ng,7172
20220215,nm,8569
20220215,po,3053
20220215,sg,4654
20220215,si,116905
20220215,za,3659
20220214,ce,18101
20220214,kk,5035
20220214,kp,6714
20220214,kr,12617
20220214,lj,30473
20220214,mb,22843
20220214,ms,8499
20220214,ng,8432
20220214,nm,9662
20220214,po,3488
20220214,sg,5580
20220214,si,136414
20220214,za,4297
20220213,ce,18148
20220213,kk,5401
20220213,kp,7096
20220213,kr,13098
20220213,lj,32023
20220213,mb,23446
20220213,ms,8596
20220213,ng,8477
20220213,nm,10344
20220213,po,3740
20220213,sg,5638
20220213,si,140972
20220213,za,4291
20220212,ce,18793
20220212,kk,5610
20220212,kp,7142
20220212,kr,13627
20220212,lj,33068
20220212,mb,24643
20220212,ms,9004
20220212,ng,8555
20220212,nm,10706
20220212,po,3886
20220212,sg,5798
20220212,si,145907
20220212,za,4401
20220211,ce,20208
20220211,kk,5872
20220211,kp,7459
20220211,kr,14579
20220211,lj,35383
20220211,mb,26735
20220211,ms,9472
20220211,ng,8949
20220211,nm,11225
20220211,po,4205
20220211,sg,6097
20220211,si,155462
20220211,za,4576
20220210,ce,21760
20220210,kk,6070
20220210,kp,7772
20220210,kr,15491
20220210,lj,37044
20220210,mb,27780
20220210,ms,9813
20220210,ng,9317
20220210,nm,11762
20220210,po,4479
20220210,sg,6346
20220210,si,162962
20220210,za,4612
20220209,ce,23283
20220209,kk,6403
20220209,kp,8191
20220209,kr,16781
20220209,lj,39384
20220209,mb,29407
20220209,ms,10155
20220209,ng,9487
20220209,nm,12335
20220209,po,4722
20220209,sg,6545
20220209,si,172282
20220209,za,4847
20220208,ce,24127
20220208,kk,6456
20220208,kp,8218
20220208,kr,17175
20220208,lj,39967
20220208,mb,29507
20220208,ms,10054
20220208,ng,9477
20220208,nm,12640
20220208,po,4781
20220208,sg,6311
20220208,si,174290
20220208,za,4837
20220207,ce,26186
20220207,kk,6955
20220207,kp,8840
20220207,kr,18234
20220207,lj,43048
20220207,mb,31051
20220207,ms,10618
20220207,ng,10157
20220207,nm,13820
20220207,po,5125
20220207,sg,6776
20220207,si,186665
20220207,za,5084
20220206,ce,26430
20220206,kk,6937
20220206,kp,8827
20220206,kr,18765
20220206,lj,44127
20220206,mb,30839
20220206,ms,10349
20220206,ng,10336
20220206,nm,13827
20220206,po,5261
20220206,sg,6871
20220206,si,188264
20220206,za,4929
20220205,ce,26980
20220205,kk,6913
20220205,kp,8790
20220205,kr,19550
20220205,lj,45118
20220205,mb,31117
20220205,ms,10319
20220205,ng,10396
20220205,nm,13958
20220205,po,5274
20220205,sg,6882
20220205,si,191108
20220205,za,5041
20220204,ce,28289
20220204,kk,6955
20220204,kp,9106
20220204,kr,20461
20220204,lj,47064
20220204,mb,32517
20220204,ms,10488
20220204,ng,10431
20220204,nm,13989
20220204,po,5470
20220204,sg,7190
20220204,si,197758
20220204,za,5014
20220203,ce,28208
20220203,kk,6940
20220203,kp,9271
20220203,kr,20189
20220203,lj,46628
20220203,mb,32051
20220203,ms,10201
20220203,ng,10688
20220203,nm,13797
20220203,po,5370
20220203,sg,6872
20220203,si,195975
20220203,za,4975
20220202,ce,27820
20220202,kk,6911
20220202,kp,9094
20220202,kr,20229
20220202,lj,47059
20220202,mb,31267
20220202,ms,9756
20220202,ng,10604
20220202,nm,13641
20220202,po,5405
20220202,sg,6698
20220202,si,194056
20220202,za,4808
20220201,ce,26891
20220201,kk,6726
20220201,kp,9012
20220201,kr,19568
20220201,lj,46110
20220201,mb,29153
20220201,ms,9077
20220201,ng,10510
20220201,nm,13380
20220201,po,5300
20220201,sg,6451
20220201,si,187560
20220201,za,4663
20220131,ce,24369
20220131,kk,6346
20220131,kp,8400
20220131,kr,18780
20220131,lj,44701
20220131,mb,26803
20220131,ms,7798
20220131,ng,9872
20220131,nm,12812
20220131,po,5110
20220131,sg,5752
20220131,si,175604
20220131,za,4192
20220130,ce,24248
20220130,kk,5875
20220130,kp,8133
20220130,kr,18710
