dateID,documentOrd,srcLink
20210131,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3066785:1612088851/Report%20136.pdf
20210130,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3066213:1612023607/Report%20134.pdf
20210130,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3065850:1612004002/Report%20133.pdf
20210129,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3065013:1611936648/Report%20132.pdf
20210129,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3064628:1611924470/Report%20131.pdf
20210128,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3063519:1611850510/Report%20130.pdf
20210128,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3063237:1611837852/Report%20129.pdf
20210127,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3062380:1611767363/Report%20128.pdf
20210127,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3061876:1611747739/Report%20127.pdf
20210126,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3061015:1611681547/Report%20informatizzato_20210126_ore17.pdf
20210126,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3060475:1611665089/Report%20126.pdf
20210125,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3059603:1611595996/Report%20125.pdf
20210125,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3059185:1611576741/Report%20124.pdf
20210124,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3058380:1611506997/Report%20123.pdf
20210124,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3058171:1611489424/Report%20122.pdf
20210123,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3057560:1611418500/Report%20121.pdf
20210123,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3057190:1611393162/Report%20120.pdf
20210122,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3056337:1611333288/Report%20119.pdf
20210122,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3055953:1611318116/Report%20118.pdf
20210121,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3055117:1611246005/Report%20117.pdf
20210120,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3053981:1611160668/Report%20115.pdf
20210120,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3053619:1611147047/Report%20114.pdf
20210119,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3052759:1611079043/Report%20113.pdf
20210119,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3052099:1611057157/Report%20informatizzato_20210119_ore8.pdf
20210118,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3051201:1610988096/Report%20informatizzato_20210118_ore17.pdf
20210118,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3050740:1610972920/Report%20informatizzato_20210118_ore8.pdf
20210117,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3050006:1610907468/Report_informatizzato_20210117_ore17.pdf
20210117,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3049527:1610877092/Report_informatizzato_20210117_ore8.pdf
20210116,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3049066:1610825123/Report_informatizzato_20210116_ore19.pdf
20210116,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3048485:1610799767/Report_informatizzato_20210116_ore8(2)%20(1).pdf
20210115,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3048086:1610744679/Report%20informatizzato_20210115_ore17_confronto%20con%2020210114_ore8%20(1).pdf
20210114,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3045953:1610628288/Report%20informatizzato_20210114_ore8.pdf
20210113,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3045215:1610561418/Report%20112.pdf
20210113,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3044725:1610541823/Report%20111.pdf
20210111,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3042563:1610388693/Report%20108.pdf
20210111,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3042073:1610369040/Report%20107.pdf
20210110,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3041355:1610300146/Report%20106.pdf
20210110,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3041014:1610278869/Report%20105.pdf
20210109,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3040413:1610211831/Report%20104.pdf
20210109,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3039966:1610183477/Report%20103.pdf
20210108,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3039362:1610127507/Report%20102.pdf
20210108,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3038927:1610109826/Report%20101.pdf
20210107,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3038057:1610037881/Report%20100.pdf
20210107,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3037683:1610022214/Report%2099.pdf
