dateid,areaID,confirmedCases
20210507,ng,12093
20210507,nm,18978
20210507,po,5836
20210507,sg,9442
20210507,si,245803
20210507,za,6665
20210506,ce,32971
20210506,kk,9537
20210506,kp,10865
20210506,kr,25619
20210506,lj,59647
20210506,mb,36682
20210506,ms,15429
20210506,ng,12071
20210506,nm,18939
20210506,po,5811
20210506,sg,9418
20210506,si,245169
20210506,za,6638
20210505,ce,32886
20210505,kk,9518
20210505,kp,10844
20210505,kr,25539
20210505,lj,59511
20210505,mb,36588
20210505,ms,15410
20210505,ng,12029
20210505,nm,18904
20210505,po,5783
20210505,sg,9398
20210505,si,244561
20210505,za,6611
20210504,ce,32784
20210504,kk,9505
20210504,kp,10813
20210504,kr,25459
20210504,lj,59297
20210504,mb,36449
20210504,ms,15379
20210504,ng,11989
20210504,nm,18859
20210504,po,5749
20210504,sg,9375
20210504,si,243785
20210504,za,6589
20210503,ce,32647
20210503,kk,9486
20210503,kp,10766
20210503,kr,25353
20210503,lj,59026
20210503,mb,36321
20210503,ms,15350
20210503,ng,11953
20210503,nm,18789
20210503,po,5712
20210503,sg,9362
20210503,si,242855
20210503,za,6559
20210502,ce,32513
20210502,kk,9458
20210502,kp,10737
20210502,kr,25250
20210502,lj,58802
20210502,mb,36192
20210502,ms,15318
20210502,ng,11926
20210502,nm,18741
20210502,po,5664
20210502,sg,9322
20210502,si,241962
20210502,za,6515
20210501,ce,32491
20210501,kk,9456
20210501,kp,10737
20210501,kr,25223
20210501,lj,58737
20210501,mb,36150
20210501,ms,15308
20210501,ng,11915
20210501,nm,18731
20210501,po,5663
20210501,sg,9316
20210501,si,241753
20210501,za,6505
20210430,ce,32466
20210430,kk,9441
20210430,kp,10735
20210430,kr,25179
20210430,lj,58599
20210430,mb,36105
20210430,ms,15277
20210430,ng,11894
20210430,nm,18704
20210430,po,5662
20210430,sg,9307
20210430,si,241386
20210430,za,6503
20210429,ce,32319
20210429,kk,9407
20210429,kp,10706
20210429,kr,25075
20210429,lj,58331
20210429,mb,35920
20210429,ms,15256
20210429,ng,11830
20210429,nm,18648
20210429,po,5610
20210429,sg,9284
20210429,si,240368
20210429,za,6474
