dateId,BundeslandID,Bundesland,AnzahlFaelleSum,AnzahlTotSum,AnzahlGeheiltSum
20200325,2,Kärnten,181,2,12
20200325,3,Niederösterreich,937,15,38
20200325,4,Oberösterreich,1046,3,52
20200325,5,Salzburg,547,1,18
20200325,6,Steiermark,641,13,12
20200325,7,Tirol,1575,10,98
20200325,8,Vorarlberg,440,0,24
20200325,9,Wien,781,19,64
20200325,10,Österreich,6237,65,320
20200326,1,Burgenland,120,2,4
20200326,2,Kärnten,206,2,17
20200326,3,Niederösterreich,1126,17,65
20200326,4,Oberösterreich,1192,4,61
20200326,5,Salzburg,666,1,19
20200326,6,Steiermark,750,15,15
20200326,7,Tirol,1775,13,166
20200326,8,Vorarlberg,483,1,36
20200326,9,Wien,976,26,98
20200326,10,Österreich,7294,81,481
20200327,1,Burgenland,144,2,7
20200327,2,Kärnten,227,2,20
20200327,3,Niederösterreich,1299,20,100
20200327,4,Oberösterreich,1306,6,96
20200327,5,Salzburg,717,4,38
20200327,6,Steiermark,818,22,29
20200327,7,Tirol,1944,15,231
20200327,8,Vorarlberg,548,1,44
20200327,9,Wien,1098,29,138
20200327,10,Österreich,8101,101,703
20200328,1,Burgenland,157,3,8
20200328,2,Kärnten,249,2,25
20200328,3,Niederösterreich,1399,22,130
20200328,4,Oberösterreich,1411,8,117
20200328,5,Salzburg,781,5,51
20200328,6,Steiermark,879,26,37
20200328,7,Tirol,2108,19,297
20200328,8,Vorarlberg,589,1,67
20200328,9,Wien,1145,34,167
20200328,10,Österreich,8718,120,899
20200329,1,Burgenland,176,3,8
20200329,2,Kärnten,271,2,29
20200329,3,Niederösterreich,1519,25,160
20200329,4,Oberösterreich,1529,10,136
20200329,5,Salzburg,835,7,69
20200329,6,Steiermark,938,28,54
20200329,7,Tirol,2222,20,388
20200329,8,Vorarlberg,613,2,106
20200329,9,Wien,1162,37,201
20200329,10,Österreich,9265,134,1151
20200330,1,Burgenland,185,3,14
20200330,2,Kärnten,283,2,41
20200330,3,Niederösterreich,1640,25,243
20200330,4,Oberösterreich,1588,12,178
20200330,5,Salzburg,894,9,111
20200330,6,Steiermark,1007,34,75
20200330,7,Tirol,2340,25,478
20200330,8,Vorarlberg,637,3,129
20200330,9,Wien,1362,42,253
20200330,10,Österreich,9936,155,1522
20200331,1,Burgenland,190,3,27
20200331,2,Kärnten,302,3,48
20200331,3,Niederösterreich,1723,25,292
20200331,4,Oberösterreich,1658,14,227
20200331,5,Salzburg,934,10,149
20200331,6,Steiermark,1069,38,104
20200331,7,Tirol,2467,31,581
20200331,8,Vorarlberg,670,4,163
20200331,9,Wien,1474,45,308
20200331,10,Österreich,10487,173,1899
20200401,1,Burgenland,202,3,35
20200401,2,Kärnten,316,3,61
20200401,3,Niederösterreich,1793,27,342
20200401,4,Oberösterreich,1759,16,276
20200401,5,Salzburg,978,12,169
20200401,6,Steiermark,1130,41,125
20200401,7,Tirol,2587,33,677
20200401,8,Vorarlberg,685,4,190
20200401,9,Wien,1587,45,368
20200401,10,Österreich,11037,184,2243
20200402,1,Burgenland,209,3,49
20200402,2,Kärnten,324,4,81
20200402,3,Niederösterreich,1891,31,394
20200402,4,Oberösterreich,1828,16,354
20200402,5,Salzburg,1015,12,187
20200402,6,Steiermark,1174,47,141
20200402,7,Tirol,2684,36,772
20200402,8,Vorarlberg,709,5,218
20200402,9,Wien,1641,50,433
20200402,10,Österreich,11475,204,2629
20200403,1,Burgenland,216,3,63
20200403,2,Kärnten,334,4,103
20200403,3,Niederösterreich,1960,33,458
20200403,4,Oberösterreich,1892,19,433
20200403,5,Salzburg,1040,12,230
20200403,6,Steiermark,1234,53,185
20200403,7,Tirol,2774,41,893
20200403,8,Vorarlberg,727,6,244
20200403,9,Wien,1710,51,492
20200403,10,Österreich,11887,222,3101
20200404,1,Burgenland,228,3,67
20200404,2,Kärnten,340,5,112
20200404,3,Niederösterreich,1990,35,499
20200404,4,Oberösterreich,1939,21,496
20200404,5,Salzburg,1051,14,292
20200404,6,Steiermark,1292,57,228
20200404,7,Tirol,2846,43,1080
20200404,8,Vorarlberg,734,7,289
20200404,9,Wien,1720,57,572
20200404,10,Österreich,12140,242,3635
20200405,1,Burgenland,232,3,72
20200405,2,Kärnten,346,5,125
20200405,3,Niederösterreich,2018,39,532
20200405,4,Oberösterreich,1976,23,537
20200405,5,Salzburg,1062,16,356
20200405,6,Steiermark,1317,61,252
20200405,7,Tirol,2872,45,1166
20200405,8,Vorarlberg,759,7,317
20200405,9,Wien,1741,65,624
20200405,10,Österreich,12323,264,3981
20200406,1,Burgenland,236,3,79
20200406,2,Kärnten,354,5,140
20200406,3,Niederösterreich,2115,46,637
20200406,4,Oberösterreich,1992,25,647
20200406,5,Salzburg,1073,17,416
20200406,6,Steiermark,1358,67,316
20200406,7,Tirol,2909,51,1359
20200406,8,Vorarlberg,779,7,410
20200406,9,Wien,1813,74,692
20200406,10,Österreich,12629,295,4696
20200407,1,Burgenland,239,3,95
20200407,2,Kärnten,362,6,157
20200407,3,Niederösterreich,2182,50,702
20200407,4,Oberösterreich,2024,30,728
20200407,5,Salzburg,1100,19,461
20200407,6,Steiermark,1403,71,360
20200407,7,Tirol,2941,58,1471
20200407,8,Vorarlberg,803,8,469
20200407,9,Wien,1864,79,774
20200407,10,Österreich,12918,324,5217
20200408,1,Burgenland,249,3,111
20200408,2,Kärnten,377,6,176
20200408,3,Niederösterreich,2235,54,810
20200408,4,Oberösterreich,2064,31,810
20200408,5,Salzburg,1111,19,524
20200408,6,Steiermark,1441,73,412
20200408,7,Tirol,2992,64,1600
20200408,8,Vorarlberg,813,8,520
20200408,9,Wien,1926,83,864
20200408,10,Österreich,13208,341,5827
20200409,1,Burgenland,252,4,130
20200409,2,Kärnten,386,6,191
20200409,3,Niederösterreich,2264,60,925
20200409,4,Oberösterreich,2102,31,916
20200409,5,Salzburg,1127,21,597
20200409,6,Steiermark,1473,76,457
20200409,7,Tirol,3099,69,1733
20200409,8,Vorarlberg,822,8,543
20200409,9,Wien,1959,88,933
20200409,10,Österreich,13484,363,6425
20200410,1,Burgenland,258,4,141
20200410,2,Kärnten,396,7,208
20200410,3,Niederösterreich,2347,63,1032
20200410,4,Oberösterreich,2126,31,1048
20200410,5,Salzburg,1136,23,675
20200410,6,Steiermark,1504,80,502
20200410,7,Tirol,3226,72,1866
20200410,8,Vorarlberg,845,8,578
20200410,9,Wien,2003,98,1011
20200410,10,Österreich,13841,386,7061
20200411,1,Burgenland,263,4,144
20200411,2,Kärnten,403,8,219
20200411,3,Niederösterreich,2400,69,1114
20200411,4,Oberösterreich,2137,32,1137
20200411,5,Salzburg,1143,23,708
20200411,6,Steiermark,1529,84,533
20200411,7,Tirol,3288,75,1952
20200411,8,Vorarlberg,851,8,598
20200411,9,Wien,2030,100,1058
20200411,10,Österreich,14044,403,7463
20200412,1,Burgenland,270,5,150
20200412,2,Kärnten,405,8,227
20200412,3,Niederösterreich,2417,69,1185
20200412,4,Oberösterreich,2143,34,1165
20200412,5,Salzburg,1154,23,729
20200412,6,Steiermark,1557,88,546
20200412,7,Tirol,3305,78,2042
20200412,8,Vorarlberg,856,8,620
20200412,9,Wien,2048,102,1116
20200412,10,Österreich,14155,415,7780
20200413,1,Burgenland,273,5,152
20200413,2,Kärnten,406,10,232
20200413,3,Niederösterreich,2432,74,1265
20200413,4,Oberösterreich,2155,34,1193
20200413,5,Salzburg,1157,24,756
20200413,6,Steiermark,1576,95,569
20200413,7,Tirol,3320,80,2107
20200413,8,Vorarlberg,857,8,631
20200413,9,Wien,2066,106,1183
20200413,10,Österreich,14242,436,8088
20200414,1,Burgenland,278,5,163
20200414,2,Kärnten,408,11,243
